Brand,Name,Price,Connection,Power ,Battery Life,Buttons,Buttons Type,Size,Weight,Shape,DPI,Polling Rate,Category,Image,Link
Logitech,B175,113050,Wireless ,Battery AA ,12 Months,2,Clicky,Small,100,Symmetrical,1000,125,Office,Logitech-B175.jpeg,https://tk.tokopedia.com/ZSBaBx4FV/
Logitech,M220,189000,Wireless ,Battery AA ,18 Months,2,Silent,Small,75,Symmetrical,1000,125,Office,Logitech-M220.jpeg,https://tk.tokopedia.com/ZSBaBNfr6/
Logitech,M241,219000,Wireless,Battery AAA,18 Months,2,Silent,Small,73,Symmetrical,1000,125,Office,Logitech-M241.jpeg,https://tk.tokopedia.com/ZSBaBmxVm/
Logitech,M196,165000,Wireless,Battery AA,12 Months,2,Clicky,Small,76,Symmetrical,1000,125,Office,Logitech-M196.jpeg,https://tk.tokopedia.com/ZSBaB9RD3/
Logitech,Lift,919000,Wireless,Battery AA,24 Months,6,Silent,Medium,125,Vertical,4000,125,Office,Logitech-Lift.jpeg,https://tk.tokopedia.com/ZSBaB6d7L/
Logitech,MX Master 2S,919000,Wireless,Recharge,70 Days,7,Silent,Large,145,Ergonomic,4000,125,Office,Logitech-MXMaster2S.jpeg,https://tk.tokopedia.com/ZSBaBSSCk/
Logitech,MX Master 3S,1695000,Wireless,Recharge,70 Days,7,Silent,Large,141,Ergonomic,8000,125,Office,Logitech-MXMaster3S.jpeg,https://tk.tokopedia.com/ZSBaBEhd3/
Logitech,MX Anywhere 3S,1115000,Wireless,Recharge,70 Days,7,Silent,Small,99,Symmetrical,8000,125,Office,Logitech-MXAnywhere3S.jpeg,https://tk.tokopedia.com/ZSBaB72re/
Logitech,MX Anywhere 2S,649000,Wireless,Recharge,70 Days,7,Silent,Small,106,Symmetrical,4000,125,Office,Logitech-MXAnywhere2S.jpeg,https://tk.tokopedia.com/ZSBaBGMtD/
Logitech,B100,60500,Wired,No Battery,No Battery,2,Clicky,Medium,109,Symmetrical,800,1000,Office,Logitech-B100.jpeg,https://tk.tokopedia.com/ZSBaSJjG3/
Logitech,M650,475000,Wireless,Battery AA,24 Months,4,Silent,Small,101,Symmetrical,4000,125,Office,Logitech-M650.jpeg,https://tk.tokopedia.com/ZSBaS1E5M/
Logitech,M650L,477000,Wireless,Battery AA,24 Months,4,Silent,Medium,115,Symmetrical,4000,125,Office,Logitech-M650L.jpeg,https://tk.tokopedia.com/ZSBaBG192/
Logitech ,M550,369000,Wireless,Battery AA,24 Months,2,Silent,Small,97,Symmetrical,4000,125,Office,Logitech-M550.jpeg,https://tk.tokopedia.com/ZSBaBXeGF/
Logitech ,M550L,369000,Wireless,Battery AA,24 Months,2,Silent,Medium,111,Symmetrical,4000,125,Office,Logitech-M550L.jpeg,https://tk.tokopedia.com/ZSBaBtFam/
Logitech ,M100,84000,Wired,No Battery,No Battery,2,Clicky,Medium,90,Symmetrical,1000,1000,Office,Logitech-M100.jpeg,https://tk.tokopedia.com/ZSBaB3SYs/
Logitech ,ERGO M575,809100,Wireless,Battery AA,24 Months,4,Clicky,Large,145,Ergonomic,2000,125,Office,Logitech-ERGOM575.jpeg,https://tk.tokopedia.com/ZSBaB3jcA/
Logitech ,M170,134000,Wireless,Battery AA,12 Months,2,Clicky,Small,69,Symmetrical,1000,125,Office,Logitech-M170.jpeg,https://tk.tokopedia.com/ZSBaB3jGd/
Logitech ,POP Mouse,455000,Wireless,Battery AA,24 Months,3,Silent,Medium,82,Symmetrical,4000,125,Office,Logitech-POPMouse.jpeg,https://tk.tokopedia.com/ZSBaBbyRf/
Logitech ,Pebble 2 M350s,345000,Wireless,Battery AA,18 Months,2,Silent,Medium,76,Symmetrical,4000,125,Office,Logitech-Pebble2M350s.jpeg,https://tk.tokopedia.com/ZSBaB3j7A/
Logitech ,Pebble M350,315000,Wireless,Battery AA,18 Months,2,Silent,Medium,100,Symmetrical,4000,125,Office,Logitech-PebbleM350.jpeg,https://tk.tokopedia.com/ZSBaSBJ7E/
Logitech ,M240,239000,Wireless,Battery AA,18 Months,2,Clicky,Small,73,Symmetrical,4000,125,Office,Logitech-M240.jpeg,https://tk.tokopedia.com/ZSBaSDEFS/
Logitech ,M190,169000,Wireless,Battery AA,18 Months,2,Clicky,Medium,89,Symmetrical,1000,125,Office,Logitech-M190.jpeg,https://tk.tokopedia.com/ZSBaSUurT/
Logitech ,M275,190000,Wireless,Battery AA,12 Months,2,Clicky,Small,78,Ergonomic,1000,125,Office,Logitech-M275.jpeg,https://tk.tokopedia.com/ZSBaSB3qr/
Logitech ,G Pro X Superlight 2 DEX,2559000,Wireless ,Recharge,95 Hours,5,Clicky,Large,60,Ergonomic,44000,8000,Gaming,Logitech-GProXSuperlight2DEX.jpeg,https://tk.tokopedia.com/ZSBaSDY3H/
Logitech ,G Pro 2 Lightspeed,1759000,Wireless ,Recharge,95 Hours,8,Clicky,Large,80,Symmetrical,44000,8000,Gaming,Logitech-GPro2Lightspeed.jpeg,https://tk.tokopedia.com/ZSBaSajPp/
Logitech ,G309,1209000,Wireless ,Battery AA,300 Hours,5,Clicky,Large,86,Symmetrical,25600,1000,Gaming,Logitech-G309.jpeg,https://tk.tokopedia.com/ZSBaSS24V/
